osmid,highway,name,oneway,reversed,length,geometry,ref,bridge,lanes,maxspeed,access,junction,tunnel,crime_score
11658974,residential,Huntington Street,False,False,140.08878532850596,"LINESTRING (-74.4525615 40.5059212, -74.4526619 40.5058476, -74.4526756 40.5058376, -74.4529656 40.5056639, -74.4537452 40.5052119, -74.453861 40.5051407)",,,,,,,,0.0
"[1092605556, 61230564]",tertiary,George Street,True,False,414.42308581094744,"LINESTRING (-74.4525615 40.5059212, -74.452441 40.5058829, -74.4523647 40.505849, -74.4517724 40.5054686, -74.4515126 40.5053361)",(672),,,,,,,5.5
"[11650753, 11654066, 56082230]",motorway_link,,True,False,171.59918263496112,"LINESTRING (-74.451832 40.505624, -74.45186 40.5057194, -74.4518536 40.5057743, -74.4518021 40.5060907, -74.4518128 40.5061971, -74.4518387 40.5062767, -74.4518758 40.5063464, -74.4519576 40.5064386, -74.4520427 40.506501, -74.4521662 40.5065478, -74.4523231 40.5065826, -74.452499 40.5066022, -74.4528145 40.5066355)",,yes,1,,,,,0.0
473077260,residential,,True,False,82.6513426086268,"LINESTRING (-74.451832 40.505624, -74.4520946 40.5058993, -74.4521483 40.5059419, -74.4522076 40.5059707, -74.4522677 40.5059864, -74.4523262 40.5059906, -74.4523827 40.5059892, -74.4524426 40.5059809, -74.4524975 40.5059561, -74.4525615 40.5059212)",(672),,,,,,,0.0
11670176,residential,Renaissance Lane,False,True,72.81189531300232,"LINESTRING (-74.4514319 40.4793948, -74.4509099 40.4799155)",,,,,,,,0.0
"[488361744, 488361743]",residential,"['Biel Road East', 'Biel Road West']",False,True,296.3248138777191,"LINESTRING (-74.4287268 40.47862, -74.429231 40.478574, -74.4298027 40.4785221, -74.4299161 40.4785116, -74.4300304 40.4785001, -74.4305124 40.4784545, -74.43068 40.4784387, -74.4307991 40.4784281, -74.4311269 40.478399, -74.4315791 40.4783589, -74.4316813 40.4783609, -74.4317729 40.4783752, -74.4318958 40.4784299, -74.431949 40.4784478, -74.432023 40.4784481, -74.4321292 40.4784361, -74.4321819 40.4784327)",,,,,,,,0.0
377220601,residential,Huntington Street,False,True,236.69861381205453,"LINESTRING (-74.4592971 40.5019104, -74.4591996 40.5019806, -74.4589732 40.5021178, -74.4588063 40.5022169, -74.4574353 40.5030225, -74.4571664 40.5031807, -74.4570931 40.5032221)",,,,,,,,0.0
"[377220600, 1192944143]",tertiary,Easton Avenue,False,True,284.0428905607133,"LINESTRING (-74.4592971 40.5019104, -74.4591884 40.5018678, -74.4588493 40.5017371, -74.4584434 40.501583, -74.4583749 40.5015554)",CR 527,,,,,,,4.5
1270733962,tertiary,Easton Avenue,False,False,209.9716226213876,"LINESTRING (-74.4592971 40.5019104, -74.4594155 40.5019568, -74.4598971 40.5021455, -74.4599763 40.5021766)",CR 527,,,,,,,4.5
23578912,trunk_link,,True,False,103.5650996764461,"LINESTRING (-74.4156906 40.4861072, -74.4154665 40.4862261, -74.4153516 40.4862668, -74.4152389 40.4862856, -74.4151077 40.4862909, -74.4149568 40.4863045, -74.4148451 40.4863368, -74.4147314 40.4863884, -74.4146842 40.4864301, -74.4146371 40.4864986)",,,,,,,,0.0
381415776,trunk,,True,False,90.93633672162454,"LINESTRING (-74.4156906 40.4861072, -74.4153466 40.4865036, -74.4150972 40.4867892)",US 1,,3,50 mph,,,,0.0
11649436,residential,Patrick Street,True,False,81.92682385845372,"LINESTRING (-74.4511747 40.4894213, -74.4510982 40.4894645, -74.4507599 40.4896556, -74.4504089 40.4898723)",,,,,,,,0.0
11658951,residential,Joyce Kilmer Avenue,False,True,159.93307604832594,"LINESTRING (-74.4511747 40.4894213, -74.4511163 40.4894766, -74.4505824 40.4899819)",,,,,,,,2.0
61260967,residential,Joyce Kilmer Avenue,False,False,155.23613332092447,"LINESTRING (-74.4511747 40.4894213, -74.4512286 40.489368, -74.4516902 40.4889265, -74.4517447 40.4888742)",,,,,,,,2.0
61260973,residential,Handy Street,False,False,268.1420136503524,"LINESTRING (-74.4511747 40.4894213, -74.4512554 40.4894707, -74.4516301 40.4897003, -74.4516413 40.4897072, -74.4517626 40.4897814, -74.4526885 40.4903487, -74.4528209 40.4904298)",,,,,,,,1.0
1207392636,residential,Handy Street,False,True,301.47905698131314,"LINESTRING (-74.4511747 40.4894213, -74.451096 40.4893734, -74.4494405 40.4883667, -74.4493185 40.4882925)",,,,,,,,1.0
11662510,residential,Seaman Street,False,False,33.37853769769639,"LINESTRING (-74.4504089 40.4898723, -74.4505824 40.4899819)",,,,,,,,1.5
11662510,residential,Seaman Street,False,True,317.1229601747819,"LINESTRING (-74.4504089 40.4898723, -74.4503671 40.4898468, -74.4488598 40.4889288, -74.4487363 40.4888536)",,,,,,,,1.5
11677551,residential,Drift Street,True,False,85.95962985548957,"LINESTRING (-74.4504089 40.4898723, -74.4503304 40.4899224, -74.44963 40.490369)",,,,,,,,0.0
11649440,residential,Cooper Drive,False,False,76.62228341559458,"LINESTRING (-74.438182 40.485225, -74.4378356 40.4850306, -74.4375779 40.4848635, -74.4374745 40.4847953)",,,,,,,,0.0
11649440,residential,Cooper Drive,False,True,76.62228341559458,"LINESTRING (-74.4374745 40.4847953, -74.4375779 40.4848635, -74.4378356 40.4850306, -74.438182 40.485225)",,,,,,,,0.0
11677352,residential,Nichol Avenue,False,False,121.75713351299906,"LINESTRING (-74.4374745 40.4847953, -74.4375484 40.484725, -74.4378558 40.4844328, -74.4379718 40.4843209, -74.4380394 40.4842556, -74.4382963 40.4840134, -74.4383739 40.4839403)",,,,,,,,0.0
11677352,residential,Nichol Avenue,False,True,74.92305111805851,"LINESTRING (-74.4374745 40.4847953, -74.4374299 40.4848377, -74.4373764 40.4848885, -74.4369838 40.4852617, -74.436921 40.4853214)",,,,,,,,0.0
660085949,residential,Lee Avenue,False,True,93.93958077758258,"LINESTRING (-74.4578652 40.4775433, -74.4575552 40.477826, -74.4571537 40.478192)",,,,,,,,0.0
11671190,residential,Neilson Street,False,False,12.64299704790472,"LINESTRING (-74.4424303 40.49702, -74.4424069 40.4969077)",,,,,,,,0.0
